"CodeSystem Code","CodeSystem Name","Valueset Category Name","Valueset Name","Concept Code","Concept Name"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87904,"Infectious Agent Phenotype Analysis By Nucleic Acid (Dna Or Rna) With Drug Resistance Tissue Culture Analysis, HIV 1; Each Additional Drug Tested (List Separately In Addition To Code For Primary Procedure)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87903,"Infectious Agent Phenotype Analysis By Nucleic Acid (Dna Or Rna) With Drug Resistance Tissue Culture Analysis, HIV 1; First Through 10 Drugs Tested"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87901,"Infectious Agent Genotype Analysis By Nucleic Acid (Dna Or Rna); HIV-1, Reverse Transcriptase And Protease Regions"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87900,"Infectious Agent Drug Susceptibility Phenotype Prediction Using Regularly Updated Genotypic Bioinformatics"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87539,"Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-2, Reverse Transcription And Quantification"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87538,"Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-2, Reverse Transcription And Amplified Probe Technique"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87537,"Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-2, Direct Probe Technique"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87536,"Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-1, Reverse Transcription And Quantification"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87535,"Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-1, Reverse Transcription And Amplified Probe Technique"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87534,"Infectious Agent Detection By Nucleic Acid (Dna Or Rna); HIV-1, Direct Probe Technique"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87391,"Infectious Agent Antigen Detection By Enzyme Immunoassay Technique, Qualitative Or Semiquantitative, Multiple-Step Method; HIV-2"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87390,"Infectious Agent Antigen Detection By Enzyme Immunoassay Technique, Qualitative Or Semiquantitative, Multiple-Step Method; HIV-1"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",87389,"Infectious Agent Antigen Detection By Enzyme Immunoassay Technique, Qualitative Or Semiquantitative, Multiple-Step Method; HIV-1 Antigen(S), With HIV-1 And HIV-2 Antibodies, Single Result"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",86703,"Antibody; HIV-1 And HIV-2, Single Result"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",86702,"Antibody; HIV-2"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",86701,"Antibody; HIV-1"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4",86689,"Antibody; Htlv Or HIV Antibody, Confirmatory Test (Eg, Western Blot)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4293F","Patient Screened For High-Risk Sexual Behavior (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4290F","Patient Screened For Injection Drug Use (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4280F","Pneumocystis Jiroveci Pneumonia Prophylaxis Prescribed Within 3 Months Of Low Cd4+ Cell Count Or Percentage (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4279F","Pneumocystis Jiroveci Pneumonia Prophylaxis Prescribed (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4276F","Potent Antiretroviral Therapy Prescribed (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4274F","Influenza Immunization Administered Or Previously Received (HIV) (P-Esrd)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4271F","Patient Receiving Potent Antiretroviral Therapy For Less Than 6 Months Or Not Receiving Potent Antiretroviral Therapy (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4270F","Patient Receiving Potent Antiretroviral Therapy For 6 Months Or Longer (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","4149F","Hepatitis B Vaccine Injection Administered Or Previously Received (Hep-C, HIV) (Ibd)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3515F","Patient Has Documented Immunity To Hepatitis C (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3514F","Hepatitis C Screening Documented As Performed (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3513F","Hepatitis B Screening Documented As Performed (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3512F","Syphilis Screening Documented As Performed (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3511F","Chlamydia And Gonorrhea Screenings Documented As Performed (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3510F","Documentation That Tuberculosis (Tb) Screening Test Performed And Results Interpreted (HIV) (Ibd)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3503F","HIV Rna Viral Load Not Below Limits Of Quantification (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3502F","HIV Rna Viral Load Below Limits Of Quantification (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3500F","Cd4+ Cell Count Or Cd4+ Cell Percentage Documented As Performed (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3498F","Cd4+ Cell Percentage >= 15% (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3497F","Cd4+ Cell Percentage <15% (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3496F","Cd4+ Cell Count >= 500 Cells/Mm3 (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3495F","Cd4+ Cell Count 200 - 499 Cells/Mm3 (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3494F","Cd4+ Cell Count < 200 Cells/Mm3 (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3493F","No History Of Nadir Cd4+ Cell Count < 350 Cells/Mm3 And No History Of AIDS-Defining Condition (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3492F","History Of Nadir Cd4+ Cell Count < 350 Cells/Mm3 (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3491F","HIV Indeterminate (Infants Of Undetermined HIV Status Born Of HIV-Infected Mothers) (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3490F","History Of AIDS-Defining Condition (HIV)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","3292F","HIV Testing Ordered Or Documented And Reviewed During The First Or Second Prenatal Visit (Pre-Cr)"
" 2.16.840.1.113883.6.12","CPT-4","HIV/AIDS information sensitivity","HIV-Related-Procedures-CPT-4","0575F","HIV Rna Control Plan Of Care, Documented (HIV)"
"HCPCS","HCPCS","HIV/AIDS information sensitivity","HIV-Related-Procedures-HCPCS","S3645","Hiv-1 antibody testing of oral mucosal transudate"
"HCPCS","HCPCS","HIV/AIDS information sensitivity","HIV-Related-Procedures-HCPCS","G8500","All quality actions for the applicable measures in the hiv/aids measures group have been performed for this patient"
"HCPCS","HCPCS","HIV/AIDS information sensitivity","HIV-Related-Procedures-HCPCS","G8491","I intend to report the hiv/aids measures group"
"HCPCS","HCPCS","HIV/AIDS information sensitivity","HIV-Related-Procedures-HCPCS","G0435","Infectious Agent Antigen Detection By Rapid Antibody Test Of Oral Mucosa Transudate, HIV-1 Or HIV-2, Screening"
"HCPCS","HCPCS","HIV/AIDS information sensitivity","HIV-Related-Procedures-HCPCS","G0433","Infectious Agent Antibody Detection By Enzyme-Linked Immunosorbent Assay (Elisa) Technique, HIV-1 And/Or HIV-2, Screening"
"HCPCS","HCPCS","HIV/AIDS information sensitivity","HIV-Related-Procedures-HCPCS","G0432","Infectious Agent Antibody Detection By Enzyme Immunoassay (Eia) Technique, HIV-1 And/Or HIV-2, Screening"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F19.99","Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F19.97","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F19.96","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F19.951","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F19.950","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F19.94","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F19.939","Other psychoactive substance use, unspecified with withdrawal, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F19.921","Other psychoactive substance use, unspecified with intoxication with delirium"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.988 ","Other stimulant use, unspecified with other stimulant-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.982 ","Other stimulant use, unspecified with stimulant-induced sleep disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.981 ","Other stimulant use, unspecified with stimulant-induced sexual dysfunction"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.980 ","Other stimulant use, unspecified with stimulant-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.959 ","Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.922 ","Other stimulant use, unspecified with intoxication with perceptual disturbance"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.288 ","Other stimulant dependence with other stimulant-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.282 ","Other stimulant dependence with stimulant-induced sleep disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.281 ","Other stimulant dependence with stimulant-induced sexual dysfunction"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.280 ","Other stimulant dependence with stimulant-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.259 ","Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.222 ","Other stimulant dependence with intoxication with perceptual disturbance"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.21","Other stimulant dependence, in remission"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.20","Other stimulant dependence, uncomplicated"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.188 ","Other stimulant abuse with other stimulant-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.182 ","Other stimulant abuse with stimulant-induced sleep disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.181 ","Other stimulant abuse with stimulant-induced sexual dysfunction"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.180 ","Other stimulant abuse with stimulant-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.159 ","Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.122 ","Other stimulant abuse with intoxication with perceptual disturbance"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Amphetamine-Stimulant-Abuse-ICD-10","F15.10","Other stimulant abuse, uncomplicated"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.99","Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.988 ","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.982 ","Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.981 ","Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.980 ","Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.97","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.96","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.959 ","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.951","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.950","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.94","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.939","Other psychoactive substance use, unspecified with withdrawal, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.922 ","Other psychoactive substance use, unspecified with intoxication with perceptual disturbance"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.921","Other psychoactive substance use, unspecified with intoxication with delirium"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.288 ","Other psychoactive substance dependence with other psychoactive substance-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.282 ","Other psychoactive substance dependence with psychoactive substance-induced sleep disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.281 ","Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.280 ","Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.259 ","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.222 ","Other psychoactive substance dependence with intoxication with perceptual disturbance"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.21","Other psychoactive substance dependence, in remission"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.20","Other psychoactive substance dependence, uncomplicated"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.188 ","Other psychoactive substance abuse with other psychoactive substance-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.182 ","Other psychoactive substance abuse with psychoactive substance-induced sleep disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.181 ","Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.180 ","Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.159 ","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.122 ","Other psychoactive substance abuse with intoxication with perceptual disturbances"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Antidepressant-Other-Mixed-Drug-Abuse-ICD-10","F19.10","Other psychoactive substance abuse, uncomplicated"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.988 ","Cannabis use, unspecified with other Cannabis-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.980 ","Cannabis use, unspecified with anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.959 ","Cannabis use, unspecified with psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.922 ","Cannabis use, unspecified with intoxication with perceptual disturbance"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.90","Cannabis use, uncomplicated"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.288 ","Cannabis dependence with other Cannabis-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.280 ","Cannabis dependence with Cannabis-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.259 ","Cannabis dependence with psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.222 ","Cannabis dependence with intoxication with perceptual disturbance"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.21","Cannabis dependence, in remission"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.20","Cannabis dependence, uncomplicated"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.188 ","Cannabis abuse with other Cannabis-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.180 ","Cannabis abuse with Cannabis-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.159 ","Cannabis abuse with psychotic disorder, unspecified"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.122 ","Cannabis abuse with intoxication with perceptual disturbance"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cannabis-Abuse-ICD-10","F12.10","Cannabis abuse, uncomplicated"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cocaine-Abuse-ICD-10","F14.988 ","Cocaine use, unspecified with other cocaine-induced disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cocaine-Abuse-ICD-10","F14.982 ","Cocaine use, unspecified with cocaine-induced sleep disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cocaine-Abuse-ICD-10","F14.981 ","Cocaine use, unspecified with cocaine-induced sexual dysfunction"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cocaine-Abuse-ICD-10","F14.980 ","Cocaine use, unspecified with cocaine-induced anxiety disorder"
"ICD-10-CM ","ICD-10-Clinical Modification","Drug abuse information sensitivity","Cocaine-Abuse-ICD-10","F14.959 ","Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
